ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism
22,13,3,2,3,179,26,9,30,222.196,99,0,3,0,0,0,0,56,171,19,0
15,28,9,3,1,291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25,1
27,7,5,4,3,184,42,7,27,378.884,92,0,1,0,0,0,0,58,167,21,1
33,13,3,2,2,248,25,14,47,222.196,99,0,1,2,0,0,1,86,165,32,0
18,23,4,4,3,330,16,4,28,239.409,98,0,2,0,0,0,0,84,182,25,1
22,13,3,2,3,179,26,9,30,343.253,95,0,3,0,0,0,0,56,171,19,0
24,23,2,3,2,246,25,16,41,251.818,96,0,1,0,1,0,0,67,170,23,0
20,15,11,6,4,260,50,11,36,284.031,97,0,1,4,1,0,0,65,168,23,1
3,27,2,6,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,1
3,27,2,4,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,0
27,23,2,6,2,184,42,7,27,302.585,99,0,1,0,0,0,0,58,167,21,0
3,27,2,2,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,0
14,10,5,2,3,155,12,14,34,237.656,99,0,1,2,1,0,0,95,196,25,1
28,13,4,2,3,225,26,9,28,246.288,91,0,1,1,0,0,2,69,169,24,1
20,13,3,6,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,1
3,28,11,5,4,179,51,18,38,284.031,97,0,1,0,1,0,0,89,170,31,1
3,27,3,4,3,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,1
22,23,9,6,1,179,26,9,30,261.756,87,0,3,0,0,0,0,56,171,19,1
34,25,6,2,1,118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,1
10,22,3,4,2,361,52,3,28,244.387,98,0,1,1,1,0,4,80,172,27,1
1,25,11,5,4,235,11,14,37,284.031,97,0,3,1,0,0,1,88,172,29,0
30,28,12,2,2,157,27,6,29,236.629,93,0,1,0,1,1,0,75,185,22,0
34,28,7,3,1,118,10,10,37,230.29,92,0,1,0,0,0,0,83,172,28,1
34,19,12,3,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,1
34,19,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,0
34,10,4,4,3,118,10,10,37,246.288,91,0,1,0,0,0,0,83,172,28,0
11,19,7,5,1,289,36,13,33,275.312,98,0,1,2,1,0,1,90,172,30,1
34,10,6,4,1,118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,1
5,0,10,4,4,235,20,13,43,265.017,88,1,1,1,1,0,0,106,167,38,0
28,13,11,6,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,1
20,23,7,6,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,1
14,6,11,6,4,155,12,14,34,306.345,93,0,1,2,1,0,0,95,196,25,1
22,27,4,6,3,179,26,9,30,246.288,91,0,3,0,0,0,0,56,171,19,0
28,23,12,2,4,225,26,9,28,280.549,98,0,1,1,0,0,2,69,169,24,0
18,13,5,6,3,330,16,4,28,246.074,99,0,2,0,0,0,0,84,182,25,1
36,23,5,2,3,118,13,18,50,237.656,99,0,1,1,1,0,0,98,178,31,0
3,27,2,5,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,1
22,13,6,5,3,179,26,9,30,275.089,96,0,3,0,0,0,0,56,171,19,0
28,7,3,2,2,225,26,9,28,222.196,99,0,1,1,0,0,2,69,169,24,1
20,1,7,3,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,1
5,19,9,3,1,235,20,13,43,241.476,92,0,1,1,1,0,0,106,167,38,1
3,23,9,3,1,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,1
14,13,3,3,2,155,12,14,34,343.253,95,0,1,2,1,0,0,95,196,25,1
16,23,3,4,3,118,15,24,46,222.196,99,0,1,2,1,1,0,75,175,25,1
14,18,12,3,2,155,12,14,34,280.549,98,0,1,2,1,0,0,95,196,25,1
28,11,3,4,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,1
34,9,11,3,4,118,10,10,37,268.519,93,0,1,0,0,0,0,83,172,28,1
3,25,8,5,1,179,51,18,38,249.797,93,0,1,0,1,0,0,89,170,31,1
28,11,3,3,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,1
10,22,9,3,4,361,52,3,28,261.756,87,0,1,1,1,0,4,80,172,27,1
28,23,10,3,4,225,26,9,28,284.853,91,0,1,1,0,0,2,69,169,24,0
26,14,8,5,1,300,26,13,43,265.615,94,0,1,2,1,1,1,77,175,25,0
20,28,10,6,4,260,50,11,36,265.017,88,0,1,4,1,0,0,65,168,23,1
24,14,7,6,1,246,25,16,41,239.554,97,0,1,0,1,0,0,67,170,23,1
3,28,6,2,3,179,51,18,38,253.957,95,0,1,0,1,0,0,89,170,31,1
26,13,8,5,1,300,26,13,43,265.615,94,0,1,2,1,1,1,77,175,25,0
11,19,12,2,2,289,36,13,33,236.629,93,0,1,2,1,0,1,90,172,30,1
15,12,11,6,4,291,31,12,40,284.031,97,0,1,1,1,0,1,73,171,25,1
28,7,2,2,2,225,26,9,28,264.249,97,0,1,1,0,0,2,69,169,24,0
3,27,2,4,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,0
34,28,2,3,2,118,10,10,37,251.818,96,0,1,0,0,0,0,83,172,28,0
3,28,1,4,2,179,51,18,38,330.061,100,0,1,0,1,0,0,89,170,31,0
14,28,4,3,3,155,12,14,34,246.288,91,0,1,2,1,0,0,95,196,25,1
1,22,7,2,1,235,11,14,37,239.554,97,0,3,1,0,0,1,88,172,29,1
11,19,7,2,1,289,36,13,33,275.312,98,0,1,2,1,0,1,90,172,30,1
10,13,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,1
10,22,6,2,3,361,52,3,28,377.55,94,0,1,1,1,0,4,80,172,27,1
15,28,8,5,1,291,31,12,40,249.797,93,0,1,1,1,0,1,73,171,25,0
12,22,6,4,1,233,51,1,31,275.089,96,0,2,1,1,0,8,68,178,21,1
36,14,4,5,3,118,13,18,50,246.288,91,0,1,1,1,0,0,98,178,31,0
3,27,3,2,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,0
2,0,4,2,3,235,29,12,48,326.452,96,1,1,1,0,1,5,88,163,33,0
22,21,6,4,1,179,26,9,30,253.957,95,0,3,0,0,0,0,56,171,19,0
20,28,11,6,4,260,50,11,36,306.345,93,0,1,4,1,0,0,65,168,23,1
20,28,8,2,1,260,50,11,36,249.797,93,0,1,4,1,0,0,65,168,23,1
2,23,7,2,1,235,29,12,48,230.29,92,0,1,1,0,1,5,88,163,33,0
20,28,5,6,3,260,50,11,36,246.074,99,0,1,4,1,0,0,65,168,23,1
36,28,9,5,4,118,13,18,50,294.217,81,0,1,1,1,0,0,98,178,31,0
15,28,4,4,3,291,31,12,40,326.452,96,0,1,1,1,0,1,73,171,25,0
3,27,2,4,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,1
23,0,11,6,4,378,49,11,36,284.031,97,1,1,2,0,1,4,65,174,21,0
28,23,2,4,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,0
15,14,10,3,4,291,31,12,40,253.465,93,0,1,1,1,0,1,73,171,25,1
20,28,3,6,2,260,50,11,36,244.387,98,0,1,4,1,0,0,65,168,23,1
19,0,9,3,1,291,50,12,32,294.217,81,1,1,0,1,0,0,65,169,23,0
34,23,10,3,4,118,10,10,37,253.465,93,0,1,0,0,0,0,83,172,28,1
8,0,0,4,2,231,35,14,39,271.219,95,0,1,2,1,0,2,100,170,35,0
14,23,4,5,3,155,12,14,34,326.452,96,0,1,2,1,0,0,95,196,25,0
3,23,9,6,1,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,1
14,19,7,3,1,155,12,14,34,275.312,98,0,1,2,1,0,0,95,196,25,1
28,23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,0
22,27,3,6,2,179,26,9,30,222.196,99,0,3,0,0,0,0,56,171,19,1
28,27,1,4,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,0
34,27,1,5,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,0
3,27,2,6,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,0
11,24,10,2,4,289,36,13,33,265.017,88,0,1,2,1,0,1,90,172,30,1
34,5,7,6,1,118,10,10,37,275.312,98,0,1,0,0,0,0,83,172,28,1
11,26,7,3,1,289,36,13,33,239.554,97,0,1,2,1,0,1,90,172,30,1
34,23,7,4,1,118,10,10,37,264.604,93,0,1,0,0,0,0,83,172,28,0
3,28,12,6,4,179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31,0
22,23,3,6,2,179,26,9,30,222.196,99,0,3,0,0,0,0,56,171,19,0
1,22,3,2,2,235,11,14,37,244.387,98,0,3,1,0,0,1,88,172,29,1
3,13,9,4,1,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,1
32,10,1,5,2,289,48,29,49,313.532,96,0,1,0,0,0,2,108,172,36,1
14,18,1,3,2,155,12,14,34,308.593,95,0,1,2,1,0,0,95,196,25,1
36,13,6,4,3,118,13,18,50,377.55,94,0,1,1,1,0,0,98,178,31,1
3,28,12,2,2,179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31,1
22,23,5,4,3,179,26,9,30,246.074,99,0,3,0,0,0,0,56,171,19,1
24,9,9,2,1,246,25,16,41,294.217,81,0,1,0,1,0,0,67,170,23,1
33,23,11,2,4,248,25,14,47,284.031,97,0,1,2,0,0,1,86,165,32,0
28,6,5,4,3,225,26,9,28,237.656,99,0,1,1,0,0,2,69,169,24,1
31,11,2,2,2,388,15,9,50,302.585,99,0,1,0,0,0,0,76,178,24,1
33,14,11,5,4,248,25,14,47,268.519,93,0,1,2,0,0,1,86,165,32,1
10,23,5,5,3,361,52,3,28,246.074,99,0,1,1,1,0,4,80,172,27,0
25,16,4,3,3,235,16,8,32,246.288,91,0,3,0,0,0,0,75,178,25,1
28,23,11,6,4,225,26,9,28,268.519,93,0,1,1,0,0,2,69,169,24,1
10,8,8,3,1,361,52,3,28,265.615,94,0,1,1,1,0,4,80,172,27,1
15,23,10,4,4,291,31,12,40,284.853,91,0,1,1,1,0,1,73,171,25,0
15,28,10,3,4,291,31,12,40,265.017,88,0,1,1,1,0,1,73,171,25,1
10,10,10,2,4,361,52,3,28,265.017,88,0,1,1,1,0,4,80,172,27,1
3,23,9,3,1,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,1
21,11,8,5,1,268,11,8,33,265.615,94,0,2,0,0,0,0,79,178,25,1
15,28,4,6,3,291,31,12,40,326.452,96,0,1,1,1,0,1,73,171,25,0
35,0,0,6,3,179,45,14,53,271.219,95,0,1,1,0,0,1,77,175,25,0
33,23,3,2,2,248,25,14,47,222.196,99,0,1,2,0,0,1,86,165,32,0
20,28,12,6,4,260,50,11,36,261.306,97,0,1,4,1,0,0,65,168,23,1
33,23,9,6,4,248,25,14,47,241.476,92,0,1,2,0,0,1,86,165,32,0
33,25,3,3,2,248,25,14,47,222.196,99,0,1,2,0,0,1,86,165,32,1
9,6,7,2,1,228,14,16,58,264.604,93,0,1,2,0,0,1,65,172,22,1
36,23,12,4,4,118,13,18,50,261.306,97,0,1,1,1,0,0,98,178,31,0
1,0,3,5,3,235,11,14,37,244.387,98,1,3,1,0,0,1,88,172,29,0
12,22,6,5,1,233,51,1,31,275.089,96,0,2,1,1,0,8,68,178,21,1
11,24,11,4,4,289,36,13,33,268.519,93,0,1,2,1,0,1,90,172,30,1
28,23,12,5,4,225,26,9,28,280.549,98,0,1,1,0,0,2,69,169,24,1
3,13,3,4,3,179,51,18,38,343.253,95,0,1,0,1,0,0,89,170,31,1
5,23,10,2,4,235,20,13,43,265.017,88,0,1,1,1,0,0,106,167,38,0
3,13,2,5,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,1
36,13,3,4,3,118,13,18,50,244.387,98,0,1,1,1,0,0,98,178,31,1
36,19,6,5,3,118,13,18,50,275.089,96,0,1,1,1,0,0,98,178,31,1
27,23,2,3,2,184,42,7,27,302.585,99,0,1,0,0,0,0,58,167,21,1
34,27,1,4,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,0
3,13,2,3,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,1
33,23,3,5,2,248,25,14,47,222.196,99,0,1,2,0,0,1,86,165,32,1
28,23,4,4,3,225,26,9,28,326.452,96,0,1,1,0,0,2,69,169,24,0
33,10,10,2,4,248,25,14,47,284.853,91,0,1,2,0,0,1,86,165,32,1
5,26,6,3,3,235,20,13,43,253.957,95,0,1,1,1,0,0,106,167,38,1
36,23,7,6,1,118,13,18,50,230.29,92,0,1,1,1,0,0,98,178,31,0
9,6,7,3,1,228,14,16,58,264.604,93,0,1,2,0,0,1,65,172,22,1
3,28,3,2,2,179,51,18,38,244.387,98,0,1,0,1,0,0,89,170,31,1
15,23,11,2,4,291,31,12,40,284.031,97,0,1,1,1,0,1,73,171,25,0
1,14,12,3,2,235,11,14,37,236.629,93,0,3,1,0,0,1,88,172,29,1
14,10,5,6,3,155,12,14,34,237.656,99,0,1,2,1,0,0,95,196,25,1
20,28,2,6,2,260,50,11,36,302.585,99,0,1,4,1,0,0,65,168,23,0
9,25,3,3,2,228,14,16,58,222.196,99,0,1,2,0,0,1,65,172,22,1
6,23,2,5,2,189,29,13,33,302.585,99,0,1,2,0,0,2,69,167,25,1
24,28,6,3,3,246,25,16,41,253.957,95,0,1,0,1,0,0,67,170,23,1
20,28,11,6,4,260,50,11,36,284.031,97,0,1,4,1,0,0,65,168,23,1
33,23,8,4,1,248,25,14,47,205.917,92,0,1,2,0,0,1,86,165,32,0
7,14,3,2,2,279,5,14,39,343.253,95,0,1,2,1,1,0,68,168,24,1
17,23,2,6,2,179,22,17,40,264.249,97,0,2,2,0,1,0,63,170,22,0
15,0,10,3,4,291,31,12,40,265.017,88,1,1,1,1,0,1,73,171,25,0
34,28,5,3,3,118,10,10,37,237.656,99,0,1,0,0,0,0,83,172,28,0
20,11,7,4,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,1
5,23,10,2,4,235,20,13,43,265.017,88,0,1,1,1,0,0,106,167,38,0
20,26,12,4,2,260,50,11,36,236.629,93,0,1,4,1,0,0,65,168,23,1
10,25,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,1
5,0,11,5,4,235,20,13,43,268.519,93,1,1,1,1,0,0,106,167,38,0
17,8,3,5,2,179,22,17,40,343.253,95,0,2,2,0,1,0,63,170,22,1
2,28,8,6,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,1
20,13,7,6,1,260,50,11,36,230.29,92,0,1,4,1,0,0,65,168,23,1
30,25,7,2,1,157,27,6,29,275.312,98,0,1,0,1,1,0,75,185,22,1
3,28,10,4,4,179,51,18,38,265.017,88,0,1,0,1,0,0,89,170,31,0
24,28,9,3,1,246,25,16,41,261.756,87,0,1,0,1,0,0,67,170,23,0
11,19,9,4,1,289,36,13,33,294.217,81,0,1,2,1,0,1,90,172,30,1
29,22,5,6,3,225,15,15,41,237.656,99,0,4,2,1,0,2,94,182,28,1
6,19,2,5,2,189,29,13,33,302.585,99,0,1,2,0,0,2,69,167,25,1
34,27,1,6,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,0
28,10,10,6,4,225,26,9,28,284.853,91,0,1,1,0,0,2,69,169,24,1
3,28,12,2,4,179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31,0
15,7,9,2,4,291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25,1
28,23,1,4,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,0
20,28,4,6,3,260,50,11,36,239.409,98,0,1,4,1,0,0,65,168,23,1
3,13,3,3,2,179,51,18,38,343.253,95,0,1,0,1,0,0,89,170,31,1
34,19,1,2,2,118,10,10,37,330.061,100,0,1,0,0,0,0,83,172,28,1
28,7,2,3,2,225,26,9,28,264.249,97,0,1,1,0,0,2,69,169,24,1
3,23,9,4,4,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,1
28,28,2,5,2,225,26,9,28,264.249,97,0,1,1,0,0,2,69,169,24,1
24,10,6,3,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,1
3,23,9,5,1,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,0
3,21,7,2,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,1
18,25,7,6,1,330,16,4,28,230.29,92,0,2,0,0,0,0,84,182,25,1
23,1,11,2,4,378,49,11,36,284.031,97,0,1,2,0,1,4,65,174,21,1
9,18,8,3,1,228,14,16,58,265.615,94,0,1,2,0,0,1,65,172,22,1
28,19,4,2,3,225,26,9,28,246.288,91,0,1,1,0,0,2,69,169,24,1
34,10,6,4,3,118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,1
20,28,4,6,3,260,50,11,36,326.452,96,0,1,4,1,0,0,65,168,23,1
33,23,9,6,1,248,25,14,47,261.756,87,0,1,2,0,0,1,86,165,32,0
13,22,3,4,3,369,17,12,31,222.196,99,0,1,3,1,0,0,70,169,25,1
33,23,5,4,3,248,25,14,47,246.074,99,0,1,2,0,0,1,86,165,32,0
33,28,11,2,4,248,25,14,47,306.345,93,0,1,2,0,0,1,86,165,32,0
7,14,3,5,3,279,5,14,39,343.253,95,0,1,2,1,1,0,68,168,24,1
11,19,10,5,4,289,36,13,33,265.017,88,0,1,2,1,0,1,90,172,30,1
3,25,8,2,1,179,51,18,38,249.797,93,0,1,0,1,0,0,89,170,31,1
3,28,11,2,4,179,51,18,38,268.519,93,0,1,0,1,0,0,89,170,31,0
13,23,10,3,4,369,17,12,31,284.853,91,0,1,3,1,0,0,70,169,25,1
32,23,10,5,4,289,48,29,49,284.853,91,0,1,0,0,0,2,108,172,36,0
11,19,3,2,3,289,36,13,33,222.196,99,0,1,2,1,0,1,90,172,30,1
3,10,3,2,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,1
3,23,7,6,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,0
5,26,7,4,1,235,20,13,43,264.604,93,0,1,1,1,0,0,106,167,38,1
34,23,9,2,1,118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28,1
9,25,3,4,2,228,14,16,58,222.196,99,0,1,2,0,0,1,65,172,22,0
22,13,12,6,4,179,26,9,30,280.549,98,0,3,0,0,0,0,56,171,19,0
28,23,3,6,2,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,0
3,23,7,6,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,0
20,22,9,6,1,260,50,11,36,241.476,92,0,1,4,1,0,0,65,168,23,1
21,0,6,2,3,268,11,8,33,275.089,96,1,2,0,0,0,0,79,178,25,0
25,28,5,4,3,235,16,8,32,237.656,99,0,3,0,0,0,0,75,178,25,0
7,7,7,5,1,279,5,14,39,239.554,97,0,1,2,1,1,0,68,168,24,1
15,28,10,4,4,291,31,12,40,284.853,91,0,1,1,1,0,1,73,171,25,0
17,25,1,5,2,179,22,17,40,313.532,96,0,2,2,0,1,0,63,170,22,0
36,23,10,5,4,118,13,18,50,265.017,88,0,1,1,1,0,0,98,178,31,0
15,28,5,5,3,291,31,12,40,237.656,99,0,1,1,1,0,1,73,171,25,0
5,26,9,4,4,235,20,13,43,294.217,81,0,1,1,1,0,0,106,167,38,1
11,7,11,4,4,289,36,13,33,306.345,93,0,1,2,1,0,1,90,172,30,1
5,0,9,5,4,235,20,13,43,294.217,81,1,1,1,1,0,0,106,167,38,0
1,23,8,3,1,235,11,14,37,249.797,93,0,3,1,0,0,1,88,172,29,1
3,11,6,2,3,179,51,18,38,377.55,94,0,1,0,1,0,0,89,170,31,1
11,23,8,3,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,0
3,27,1,4,2,179,51,18,38,313.532,96,0,1,0,1,0,0,89,170,31,1
36,13,8,5,1,118,13,18,50,265.615,94,0,1,1,1,0,0,98,178,31,1
22,25,5,2,3,179,26,9,30,246.074,99,0,3,0,0,0,0,56,171,19,0
20,0,9,2,4,260,50,11,36,241.476,92,1,1,4,1,0,0,65,168,23,0
15,3,1,4,2,291,31,12,40,330.061,100,0,1,1,1,0,1,73,171,25,1
1,13,6,6,3,235,11,14,37,377.55,94,0,3,1,0,0,1,88,172,29,1
19,11,8,5,1,291,50,12,32,205.917,92,0,1,0,1,0,0,65,169,23,1
30,19,3,3,2,157,27,6,29,343.253,95,0,1,0,1,1,0,75,185,22,1
36,1,7,4,1,118,13,18,50,275.312,98,0,1,1,1,0,0,98,178,31,1
23,22,6,5,3,378,49,11,36,275.089,96,0,1,2,0,1,4,65,174,21,1
3,23,2,6,2,179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,1
3,27,2,4,2,179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,1
